Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
144813,2.1940298507462686,1.0,2.567270235766752,25,144,0.0010039320847278254,0.005171401030068784,0.8546125273663366
904144,2.427860696517413,2.0,2.682048900061155,27,133,0.0008985143746449584,0.00514481437134693,0.9052227363321715
236717,1.8888888888888888,1.0,2.3285507331118813,19,176,0.0006898000414608533,0.00513921538123115,0.8111830033157793
150244,2.099502487562189,1.0,2.9562957668796876,29,208,0.0008646123430210632,0.005136791814936854,0.71017771946444
71,2.230514096185738,2.0,2.8700311566571406,32,167,0.0008443232485700661,0.005135318329495977,0.7771714670404632
298008,2.4328358208955225,2.0,2.829022137295953,25,132,0.0008018829084329071,0.005128120098044686,0.8599534055561762
901575,1.6998341625207296,1.0,2.39909808350742,28,215,0.0005073805218081353,0.0051037232022885706,0.7085275458017822
6567,1.6683250414593698,1.0,2.425563485606233,25,232,0.0003711112241892878,0.00510296871216614,0.6878064306686626
501471,1.923714759535655,1.0,2.3359938204651733,15,200,0.0006492726097377595,0.005091317760678297,0.8235066838001068
154743,2.3665008291873963,2.0,2.7171842185483737,28,143,0.0010841963881428151,0.0050746398094791015,0.8709354719780278
128,2.7960199004975124,2.0,3.155954767388097,28,107,0.00146184409280233,0.005070261112875934,0.885947754990789
55,2.0630182421227197,1.0,2.198146855121866,13,164,0.0010295292749835522,0.005054688334351325,0.9385218517576379
21157,2.232172470978441,1.0,2.95390116562661,26,184,0.0007544817806992138,0.005054570964298296,0.7556667569943434
652245,2.1389830508474574,1.0,2.5030839926556596,17,168,0.0008421968839871766,0.005034073385516899,0.8545356495295254
12898,1.9596638655462184,1.0,2.392225479371977,20,164,0.0005539721959316505,0.00502878379300316,0.8191768253770236
513,2.3814262023217245,1.0,3.3159426879188056,30,184,0.0010311848838338619,0.005026942003114211,0.7181725514354009
57401,2.185737976782753,1.0,2.623151594847844,17,165,0.0008367955114742931,0.0050073565880609594,0.8332456456650496
151817,2.6799336650082917,2.0,2.713282602893008,19,104,0.0013479216574977001,0.005006809535854698,0.9877053665907068
66402,2.208955223880597,2.0,2.510895541610736,20,148,0.0006646116539885344,0.00500296418407794,0.8797444536537846
156753,2.3913764510779436,2.0,3.282102619948071,34,147,0.000731738490889081,0.005001252233045081,0.7286088955459973
9145,2.4046434494195688,2.0,2.7844828854217574,25,157,0.0011585475608187294,0.005000247258229928,0.8635839804113364
129092,1.9834162520729686,1.0,2.428354533867964,23,170,0.0008997967398401568,0.004997797617790017,0.8167703919286492
298325,2.067993366500829,1.0,3.0654043129652644,38,161,0.0007070406347520132,0.004986655992502143,0.6746211622207763
8514,2.7927031509121063,2.0,3.1457380928850722,29,129,0.0011733144109271664,0.004982867820529312,0.887770752282591
217649,2.4228855721393034,2.0,2.7755041312515623,22,120,0.0012541086987183413,0.00498270998219038,0.8729501842048817
926145,2.427860696517413,2.0,2.321438030156786,19,116,0.001039397036680684,0.0049613145326330805,1.0458389182003096
70069,2.2153846153846155,1.0,2.7658205497843618,22,148,0.0010808456809676338,0.004953485097410564,0.8009834932068916
2085,2.0480928689883915,1.0,2.795283075819409,26,186,0.0008512741269250312,0.004945120792332985,0.7326934290738069
30534,2.03150912106136,1.0,2.4489485091559677,20,182,0.000735029820953499,0.004942152107658211,0.829540032412194
289055,2.33167495854063,1.0,3.2347781067875983,32,144,0.0009333598488209004,0.004907376002848513,0.7208122700983245
65511,2.7860696517412937,2.0,3.3574755049430984,40,103,0.0012335190156949603,0.00488511040053697,0.8298083931083154
205258,1.6849087893864014,1.0,1.942853840294894,11,207,0.0006727656222052718,0.004876876873146067,0.8672294756027065
